strikePrice,expiryDate,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,CE.openInterest,CE.changeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,timestamp
15100,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15100.00,10061.0,10061.0,33894.0,52.71,0.65,0.6,617350.0,82900.0,7250.0,0.65,9800.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,11050.0,8250.0,200.0,1659.85,200.0,1718.6,21-Dec-2021 15:30:00
15150,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15150.00,86.0,86.0,308.0,51.61,0.7,0.6499999999999999,69550.0,9600.0,50.0,0.75,250.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,9300.0,2750.0,1375.45,1000.0,1864.85,21-Dec-2021 15:30:00
15200,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15200.00,3198.0,3198.0,15474.0,49.72,0.65,0.6,402650.0,25650.0,500.0,0.7,2800.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,9500.0,200.0,1552.3,200.0,1615.6,21-Dec-2021 15:30:00
15250,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15250.00,56.0,56.0,146.0,49.29,0.8,0.75,57100.0,7200.0,200.0,0.7,1150.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,9250.0,6500.0,2750.0,1430.8,1000.0,1716.65,21-Dec-2021 15:30:00
15300,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15300.00,3750.0,3750.0,23768.0,48.67,0.95,0.8999999999999999,304050.0,35100.0,350.0,0.8,300.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,9250.0,6500.0,1000.0,1382.4,2750.0,1647.45,21-Dec-2021 15:30:00
15350,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15350.00,150.0,150.0,1543.0,46.56,0.85,0.7999999999999999,132500.0,8600.0,850.0,0.85,50.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,9300.0,2750.0,1247.05,2750.0,1602.15,21-Dec-2021 15:30:00
15400,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15400.00,46243.0,-4232.0,136233.0,47.26,1.3,-5.2,1375150.0,103750.0,1550.0,1.1,1350.0,1.3,3.0,-1.0,2.0,0.0,1320.6,186.25,12700.0,12700.0,300.0,1375.75,300.0,1419.3,21-Dec-2021 15:30:00
15450,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15450.00,2143.0,-712.0,12063.0,46.83,1.6,-5.85,199850.0,26450.0,50.0,1.4,1250.0,1.7,1.0,1.0,1.0,0.0,1313.3,-183.79999999999995,12150.0,15100.0,1100.0,1262.9,1250.0,1399.95,21-Dec-2021 15:30:00
15500,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15500.00,57069.0,-3116.0,268621.0,45.88,1.8,-6.6000000000000005,698600.0,84100.0,100.0,1.7,150.0,1.8,7.0,-3.0,8.0,0.0,1205.2,61.100000000000136,17650.0,19050.0,500.0,1281.6,50.0,1307.65,21-Dec-2021 15:30:00
15550,23-Dec-2021,OPTIDXNIFTY23-12-2021PE15550.00,2109.0,-734.0,13156.0,45.13,2.1,-7.300000000000001,114000.0,21150.0,50.0,1.55,750.0,2.1,7.0,1.0,1.0,0.0,1183.3,131.95000000000005,12100.0,11650.0,500.0,1236.7,500.0,1252.1,21-Dec-2021 15:30:00
